,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
186,0.1511,Fri Nov 03 09:37:08 +0000 2017,0.923,0.0,0.077,87,@BBC
187,0.7906,Fri Nov 03 09:36:17 +0000 2017,0.632,0.0,0.368,88,@BBC
188,-0.8126,Fri Nov 03 09:35:04 +0000 2017,0.73,0.27,0.0,89,@BBC
189,-0.3595,Fri Nov 03 09:34:25 +0000 2017,0.898,0.102,0.0,90,@BBC
190,0.0,Fri Nov 03 09:34:04 +0000 2017,1.0,0.0,0.0,91,@BBC
191,0.0,Fri Nov 03 09:30:10 +0000 2017,1.0,0.0,0.0,92,@BBC
192,-0.5848,Fri Nov 03 08:59:03 +0000 2017,0.841,0.159,0.0,93,@BBC
193,0.6249,Fri Nov 03 08:40:05 +0000 2017,0.646,0.099,0.255,94,@BBC
194,-0.6808,Fri Nov 03 08:19:03 +0000 2017,0.6,0.292,0.108,95,@BBC
195,0.0,Fri Nov 03 08:01:04 +0000 2017,1.0,0.0,0.0,96,@BBC
196,0.0,Fri Nov 03 07:40:03 +0000 2017,1.0,0.0,0.0,97,@BBC
197,0.9112,Thu Nov 02 20:47:45 +0000 2017,0.527,0.0,0.473,98,@BBC
198,0.4588,Thu Nov 02 20:44:08 +0000 2017,0.769,0.0,0.231,99,@BBC
199,-0.3595,Thu Nov 02 19:59:43 +0000 2017,0.902,0.098,0.0,100,@BBC
200,0.4199,Sun Nov 05 13:58:35 +0000 2017,0.872,0.0,0.128,1,@CBS
201,0.0,Sat Nov 04 20:00:02 +0000 2017,1.0,0.0,0.0,2,@CBS
202,0.0,Sat Nov 04 13:54:31 +0000 2017,1.0,0.0,0.0,3,@CBS
203,0.6166,Fri Nov 03 00:45:05 +0000 2017,0.776,0.0,0.224,4,@CBS
204,0.0,Thu Nov 02 23:02:32 +0000 2017,1.0,0.0,0.0,5,@CBS
205,0.6514,Thu Nov 02 19:38:35 +0000 2017,0.797,0.0,0.203,6,@CBS
206,0.6369,Thu Nov 02 17:38:03 +0000 2017,0.819,0.0,0.181,7,@CBS
207,0.6514,Thu Nov 02 16:47:35 +0000 2017,0.806,0.0,0.194,8,@CBS
208,0.0,Thu Nov 02 10:09:01 +0000 2017,1.0,0.0,0.0,9,@CBS
209,0.0,Thu Nov 02 10:08:01 +0000 2017,1.0,0.0,0.0,10,@CBS
210,0.0,Thu Nov 02 00:24:36 +0000 2017,1.0,0.0,0.0,11,@CBS
211,0.0,Thu Nov 02 00:19:17 +0000 2017,1.0,0.0,0.0,12,@CBS
212,0.0,Wed Nov 01 17:07:30 +0000 2017,1.0,0.0,0.0,13,@CBS
213,0.8932,Wed Nov 01 00:56:34 +0000 2017,0.457,0.05,0.494,14,@CBS
214,0.7959,Tue Oct 31 20:09:21 +0000 2017,0.608,0.0,0.392,15,@CBS
215,0.7574,Tue Oct 31 17:01:24 +0000 2017,0.533,0.071,0.396,16,@CBS
216,0.6124,Tue Oct 31 17:00:06 +0000 2017,0.737,0.0,0.263,17,@CBS
217,0.6996,Tue Oct 31 14:00:01 +0000 2017,0.734,0.0,0.266,18,@CBS
218,0.0572,Mon Oct 30 22:44:05 +0000 2017,0.892,0.05,0.059,19,@CBS
219,0.2732,Mon Oct 30 22:41:43 +0000 2017,0.89,0.0,0.11,20,@CBS
220,0.0,Mon Oct 30 20:00:52 +0000 2017,1.0,0.0,0.0,21,@CBS
221,0.0,Mon Oct 30 20:00:46 +0000 2017,1.0,0.0,0.0,22,@CBS
222,0.2481,Mon Oct 30 19:05:46 +0000 2017,0.889,0.0,0.111,23,@CBS
223,0.3612,Mon Oct 30 16:32:38 +0000 2017,0.884,0.0,0.116,24,@CBS
224,0.1139,Mon Oct 30 16:08:57 +0000 2017,0.917,0.0,0.083,25,@CBS
225,0.3612,Mon Oct 30 01:11:11 +0000 2017,0.872,0.0,0.128,26,@CBS
226,-0.2263,Sun Oct 29 23:38:17 +0000 2017,0.909,0.091,0.0,27,@CBS
227,-0.1759,Sun Oct 29 14:00:07 +0000 2017,0.711,0.161,0.128,28,@CBS
228,0.4738,Sun Oct 29 12:54:33 +0000 2017,0.86,0.0,0.14,29,@CBS
229,-0.4096,Sat Oct 28 16:29:44 +0000 2017,0.811,0.189,0.0,30,@CBS
230,0.0,Sat Oct 28 14:36:39 +0000 2017,1.0,0.0,0.0,31,@CBS
231,0.4574,Sat Oct 28 04:48:22 +0000 2017,0.842,0.0,0.158,32,@CBS
232,0.5562,Sat Oct 28 00:58:16 +0000 2017,0.834,0.0,0.166,33,@CBS
233,0.0,Sat Oct 28 00:53:51 +0000 2017,1.0,0.0,0.0,34,@CBS
234,-0.128,Sat Oct 28 00:35:11 +0000 2017,0.87,0.13,0.0,35,@CBS
235,0.0,Sat Oct 28 00:17:16 +0000 2017,1.0,0.0,0.0,36,@CBS
236,0.69,Sat Oct 28 00:00:37 +0000 2017,0.76,0.0,0.24,37,@CBS
237,0.4843,Fri Oct 27 21:00:06 +0000 2017,0.804,0.0,0.196,38,@CBS
238,0.636,Fri Oct 27 19:00:04 +0000 2017,0.564,0.12,0.316,39,@CBS
239,-0.128,Fri Oct 27 18:57:41 +0000 2017,0.93,0.07,0.0,40,@CBS
240,-0.128,Fri Oct 27 16:00:07 +0000 2017,0.661,0.159,0.181,41,@CBS
241,0.4963,Fri Oct 27 12:15:03 +0000 2017,0.726,0.059,0.215,42,@CBS
242,0.0,Thu Oct 26 21:47:24 +0000 2017,1.0,0.0,0.0,43,@CBS
243,0.3612,Thu Oct 26 21:44:54 +0000 2017,0.865,0.0,0.135,44,@CBS
244,0.0,Thu Oct 26 20:54:18 +0000 2017,1.0,0.0,0.0,45,@CBS
245,0.4019,Thu Oct 26 18:19:42 +0000 2017,0.87,0.0,0.13,46,@CBS
246,0.765,Thu Oct 26 16:00:05 +0000 2017,0.694,0.0,0.306,47,@CBS
247,0.4019,Wed Oct 25 20:03:30 +0000 2017,0.87,0.0,0.13,48,@CBS
248,0.4019,Wed Oct 25 16:23:39 +0000 2017,0.87,0.0,0.13,49,@CBS
249,0.0,Wed Oct 25 16:00:04 +0000 2017,1.0,0.0,0.0,50,@CBS
250,0.4019,Tue Oct 24 21:00:03 +0000 2017,0.847,0.0,0.153,51,@CBS
251,0.4019,Tue Oct 24 19:02:04 +0000 2017,0.87,0.0,0.13,52,@CBS
252,0.5719,Tue Oct 24 17:59:33 +0000 2017,0.749,0.0,0.251,53,@CBS
253,0.0,Tue Oct 24 15:15:04 +0000 2017,1.0,0.0,0.0,54,@CBS
254,0.4574,Mon Oct 23 21:54:41 +0000 2017,0.824,0.0,0.176,55,@CBS
255,-0.7096,Mon Oct 23 18:43:27 +0000 2017,0.704,0.296,0.0,56,@CBS
256,0.0,Sun Oct 22 23:54:28 +0000 2017,1.0,0.0,0.0,57,@CBS
257,0.0,Sun Oct 22 23:54:04 +0000 2017,1.0,0.0,0.0,58,@CBS
258,0.4199,Sun Oct 22 14:11:22 +0000 2017,0.872,0.0,0.128,59,@CBS
259,0.4019,Fri Oct 20 22:06:25 +0000 2017,0.881,0.0,0.119,60,@CBS
260,0.0,Fri Oct 20 18:29:58 +0000 2017,1.0,0.0,0.0,61,@CBS
261,0.4588,Fri Oct 20 17:07:58 +0000 2017,0.833,0.0,0.167,62,@CBS
262,0.5562,Thu Oct 19 23:43:00 +0000 2017,0.834,0.0,0.166,63,@CBS
263,0.0,Thu Oct 19 21:26:59 +0000 2017,1.0,0.0,0.0,64,@CBS
264,-0.4767,Thu Oct 19 20:57:53 +0000 2017,0.698,0.2,0.102,65,@CBS
265,0.7579,Thu Oct 19 19:50:57 +0000 2017,0.681,0.0,0.319,66,@CBS
266,0.25,Thu Oct 19 18:59:01 +0000 2017,0.895,0.0,0.105,67,@CBS
267,-0.2714,Thu Oct 19 18:26:42 +0000 2017,0.658,0.197,0.146,68,@CBS
268,0.5837,Thu Oct 19 18:20:01 +0000 2017,0.76,0.0,0.24,69,@CBS
269,0.0,Thu Oct 19 18:19:51 +0000 2017,1.0,0.0,0.0,70,@CBS
270,0.5994,Thu Oct 19 17:33:18 +0000 2017,0.776,0.0,0.224,71,@CBS
271,-0.25,Thu Oct 19 17:31:23 +0000 2017,0.746,0.146,0.108,72,@CBS
272,0.69,Thu Oct 19 17:31:09 +0000 2017,0.558,0.128,0.315,73,@CBS
273,-0.3595,Thu Oct 19 17:31:07 +0000 2017,0.712,0.175,0.113,74,@CBS
274,-0.743,Thu Oct 19 14:36:38 +0000 2017,0.73,0.27,0.0,75,@CBS
275,-0.743,Thu Oct 19 14:35:32 +0000 2017,0.73,0.27,0.0,76,@CBS
276,-0.743,Thu Oct 19 14:35:16 +0000 2017,0.704,0.296,0.0,77,@CBS
277,-0.743,Thu Oct 19 14:33:12 +0000 2017,0.792,0.208,0.0,78,@CBS
278,0.7569,Thu Oct 19 00:17:00 +0000 2017,0.746,0.0,0.254,79,@CBS
279,0.6369,Wed Oct 18 20:56:39 +0000 2017,0.819,0.0,0.181,80,@CBS
280,0.0,Wed Oct 18 20:55:01 +0000 2017,1.0,0.0,0.0,81,@CBS
281,0.0,Wed Oct 18 16:12:32 +0000 2017,1.0,0.0,0.0,82,@CBS
282,0.0,Tue Oct 17 21:50:42 +0000 2017,1.0,0.0,0.0,83,@CBS
283,0.6369,Tue Oct 17 18:14:21 +0000 2017,0.802,0.0,0.198,84,@CBS
284,0.1867,Mon Oct 16 21:46:48 +0000 2017,0.916,0.0,0.084,85,@CBS
285,0.4019,Mon Oct 16 15:39:01 +0000 2017,0.87,0.0,0.13,86,@CBS
286,-0.5106,Mon Oct 16 00:33:40 +0000 2017,0.829,0.171,0.0,87,@CBS
287,0.7798,Sun Oct 15 13:26:47 +0000 2017,0.701,0.0,0.299,88,@CBS
